context_id,group,terrain,seed,pareto_candidate_count,utopia_l2_selected_source_beta,utopia_l2_ambiguous,utopia_l2_best_score,utopia_l2_score_gap,chebyshev_selected_source_beta,chebyshev_ambiguous,chebyshev_best_score,chebyshev_score_gap,rules_agree
flat_train:flat:27100,flat_train,flat,27100,4,motion,0,0.029227421773448687,0.03401456924476909,motion,0,0.05062337948585798,0.05354296002468192,1
flat_train:flat:27101,flat_train,flat,27101,3,motion,0,0.013917678022144223,0.043849762245160406,motion,0,0.024106125457738516,0.0747791245847752,1
flat_train:flat:27102,flat_train,flat,27102,4,motion,0,0.030428969444634232,0.03319280166451251,motion,0,0.05270452110006741,0.05363254548558229,1
flat_train:flat:27103,flat_train,flat,27103,4,motion,0,0.0390108520813658,0.03419640368418876,motion,0,0.06756877785147965,0.04935212106134465,1
flat_train:flat:27104,flat_train,flat,27104,3,motion,0,0.02952663535243716,0.022425653200279172,motion,0,0.05114163260698054,0.03650877163941155,1
flat_train:flat:27105,flat_train,flat,27105,4,motion,0,0.03013660666756878,0.03282713259319072,motion,0,0.05219813391594812,0.05060572328299577,1
flat_train:flat:27106,flat_train,flat,27106,4,motion,0,0.031161576614106495,0.026254757473121924,motion,0,0.053973433939582593,0.04136455264857063,1
flat_train:flat:27107,flat_train,flat,27107,4,motion,0,0.027447000835116506,0.04752991040540629,motion,0,0.04753959996180719,0.07555386027946533,1
flat_train:flat:27108,flat_train,flat,27108,4,motion,0,0.03224058095765755,0.0402668374621293,motion,0,0.055842324284200516,0.0681870226413448,1
flat_train:flat:27109,flat_train,flat,27109,3,motion,0,0.03504277200854575,0.04032319699614487,motion,0,0.060695861556853706,0.06384755231900377,1
flat_train:flat:27110,flat_train,flat,27110,4,motion,0,0.03548273529539671,0.0333202439501087,motion,0,0.06145790032314457,0.04881947259594107,1
flat_train:flat:27111,flat_train,flat,27111,4,motion,0,0.038684362526957575,0.030190603039724914,motion,0,0.06700328135510408,0.04241131001987471,1
flat_train:flat:27112,flat_train,flat,27112,4,motion,0,0.019168516713095284,0.0401313143651517,motion,0,0.03320084485281421,0.06547025498911299,1
flat_train:flat:27113,flat_train,flat,27113,4,motion,0,0.03681929818310377,0.034665999102144865,motion,0,0.06377250927977098,0.057581468374176034,1
flat_train:flat:27114,flat_train,flat,27114,4,motion,0,0.044062215577184836,0.024786011392043818,motion,0,0.07631799607373696,0.031229922581287733,1
flat_train:flat:27115,flat_train,flat,27115,4,motion,0,0.031949601038851125,0.029550846184208793,motion,0,0.05533833228084553,0.04639897751440138,1
flat_train:flat:27116,flat_train,flat,27116,4,motion,0,0.024169936756759516,0.03511845698138098,motion,0,0.04186355847843401,0.05456961545488685,1
flat_train:flat:27117,flat_train,flat,27117,4,motion,0,0.030128512206909795,0.030766570005974218,motion,0,0.052184113898826885,0.049318270528493476,1
low_friction_train:low_friction:27200,low_friction_train,low_friction,27200,4,motion,0,0.02996523301899754,0.01980291646510813,motion,0,0.05190130604954427,0.03233564359280124,1
low_friction_train:low_friction:27201,low_friction_train,low_friction,27201,4,motion,0,0.019510785503629554,0.04748630162486482,motion,0,0.03379367178786471,0.07877624288765328,1
low_friction_train:low_friction:27202,low_friction_train,low_friction,27202,4,motion,0,0.04229995805278368,0.0058715959860804814,motion,0,0.0732656765054536,0.006586542594336706,1
low_friction_train:low_friction:27203,low_friction_train,low_friction,27203,4,motion,0,0.021366284513477215,0.03502909166096725,motion,0,0.037007490346314606,0.05962446743311696,1
low_friction_train:low_friction:27204,low_friction_train,low_friction,27204,4,motion,0,0.03444002719979978,0.020920427912653763,motion,0,0.059651876924107304,0.024170929572353637,1
low_friction_train:low_friction:27205,low_friction_train,low_friction,27205,3,motion,0,0.0352982242211352,0.02409070574467912,motion,0,0.06113831776796452,0.03449784422967854,1
low_friction_train:low_friction:27206,low_friction_train,low_friction,27206,4,motion,0,0.03316417248864267,0.030555385330048347,motion,0,0.057442031741307076,0.03756755349922872,1
low_friction_train:low_friction:27207,low_friction_train,low_friction,27207,3,motion,0,0.03472398497446705,0.02237049590004174,motion,0,0.06014370621703521,0.036694186360431195,1
low_friction_train:low_friction:27208,low_friction_train,low_friction,27208,4,motion,0,0.027166567300155788,0.02712174201354622,motion,0,0.04705387483110909,0.04557534229544879,1
low_friction_train:low_friction:27209,low_friction_train,low_friction,27209,4,motion,0,0.032275011813847884,0.01741594072516147,motion,0,0.05590196027647028,0.025329753200754937,1
low_friction_train:low_friction:27210,low_friction_train,low_friction,27210,4,motion,0,0.032819554916578085,0.026960709728802476,motion,0,0.056845136597310185,0.045355329310027205,1
low_friction_train:low_friction:27211,low_friction_train,low_friction,27211,4,motion,0,0.032400761644144224,0.018753161902219734,motion,0,0.05610693162351381,0.01957153714289042,1
low_friction_train:low_friction:27212,low_friction_train,low_friction,27212,3,motion,0,0.012002616009823712,0.03462494787494689,motion,0,0.02072600985205713,0.05671644535327381,1
low_friction_train:low_friction:27213,low_friction_train,low_friction,27213,4,motion,0,0.032222856024216436,0.01637238656089056,motion,0,0.055811623798919734,0.027168257923505572,1
