update,beta,k0,k1,dCtr_k,dCtr_k_plus_25,abs_difference,same_sign,dVxRef_k,dVxRef_k_plus_25,dYawRef_k,dYawRef_k_plus_25,dHRef_k,dHRef_k_plus_25
10,stability,0,25,0.11112872035661958,-0.008260977712363088,0.11938969806898267,0,0.0031904857605695724,0.0031048558652400915,-0.008594232052564621,-0.009218145161867142,0.0013008159399032215,0.0011739994212985327
10,stability,1,26,-0.1260747576849215,0.0,0.1260747576849215,0,0.003203301131725317,0.003092709835618712,-0.008700304664671421,-0.009165917336940766,0.001320343762636178,0.0010707799158989895
10,stability,2,27,0.15928102463456312,-0.0016209350225784118,0.16090195965714152,0,0.0031879115849733353,0.003088195528835047,-0.008703399542719127,-0.009127920866012572,0.0013223926350474091,0.0010025978833437255
10,stability,3,28,-0.0038427410448109503,0.0,0.0038427410448109503,0,0.0031835820525884795,0.0030905829742551016,-0.008792451769113542,-0.009126731008291245,0.0013472894579172334,0.0009446841478347734
10,stability,4,29,-0.006546950480135497,0.14327494049407835,0.14982189097421383,0,0.0032033078372478707,0.003099856106564408,-0.008863916806876659,-0.009130334109067918,0.001357170380651973,0.0008960268460214138
10,stability,5,30,0.0019160592983142738,-0.0007278299830406674,0.002643889281354941,0,0.0031996455043554195,0.0030905782128684,-0.00891026444733143,-0.00905058905482292,0.0013679544255137954,0.0007870244421064876
10,stability,6,31,0.0006977993482611272,-9.103220769370122e-05,0.0007888315559548284,0,0.003194107115268713,0.0030849609524011556,-0.008945994079113007,-0.008997383713722228,0.0013763898611068304,0.0007175719458610286
10,stability,7,32,0.018289950186179516,-0.025774499137036583,0.0440644493232161,0,0.003195638582110416,0.0030940884025767446,-0.008998608216643333,-0.008978383988142012,0.0013897177577018582,0.000637519597075864
10,stability,8,33,0.00041237184018277917,0.006039405224522135,0.0056270333843393555,1,0.0031882626935839653,0.0031044947449117843,-0.00904153399169445,-0.008926361799240114,0.0014039790630340776,0.0005284953257069236
10,stability,9,34,-1.4404554693871544e-05,-0.002902659998659777,0.0028882554439659054,1,0.0031853612512350304,0.0031019142828881963,-0.00907297506928444,-0.008860810101032257,0.0014110043272376194,0.0004940116638317837
10,stability,10,35,0.0,0.0,0.0,0,0.0031814893707633185,0.003120969235897081,-0.0091107577085495,-0.008846729993820192,0.00141910571604964,0.0004935637023299466
10,stability,11,36,0.13232793890988578,-0.03504089285241238,0.16736883176229816,0,0.003186760097742103,0.003155804611742502,-0.009162751212716104,-0.008842945098876953,0.001431652866303923,0.000493537718430137
10,stability,12,37,-0.00013260281923389915,-0.0006021368481327473,0.0004695340288988481,1,0.0031766802072524802,0.0031868715770542455,-0.009177712909877301,-0.00879620462656021,0.0014392405562103083,0.0004895320720970653
10,stability,13,38,-0.015062051925238056,-0.017892275610641377,0.0028302236854033207,1,0.003152602165937407,0.003207565844058985,-0.0091700941324234,-0.008699746429920198,0.001448531448841106,0.00048266898840665373
10,stability,14,39,0.04500483479410024,0.011746435672079558,0.03325839912202068,1,0.0031643915921449606,0.0032971975393593367,-0.009224757365882397,-0.008785660564899446,0.001456826012581569,0.000483883526176232
10,stability,15,40,0.006788942295365405,-0.12997315945572996,0.13676210175109538,0,0.0031731981784105245,0.003427702095359586,-0.009263606974855065,-0.008859679102897644,0.0014696498773992261,0.000481412559747707
10,energy,0,25,-0.19355135574432758,0.0466928352713494,0.24024419101567698,0,-0.004915281385183323,-0.0056598823517561014,0.008665598928928375,0.011374276876449586,-0.0010593757778405988,-0.0015031023323535675
10,energy,1,26,-0.1667570309350208,1.7805534824343205e-10,0.16675703111307616,0,-0.004959721118211746,-0.0056896794587373845,0.00877987816929817,0.011453481391072273,-0.0010766214877367397,-0.0015196553058922646
10,energy,2,27,0.016864769202274588,0.00536138035457484,0.011503388847699747,1,-0.004988142848014826,-0.005708580091595666,0.008938133716583252,0.011495130136609077,-0.0010948263108730427,-0.0015303813479840556
10,energy,3,28,-0.009684530292394201,0.0,0.009684530292394201,0,-0.00510763972997666,-0.005725282430648793,0.009183971583843232,0.011548765748739243,-0.0011405204236507038,-0.0015401672758161844
10,energy,4,29,-0.028633018325983695,-0.03189352330490908,0.0032605049789253826,1,-0.005090513825416559,-0.005749737471342081,0.009255628287792205,0.011636734008789062,-0.0011407767981290728,-0.001553759146481759
10,energy,5,30,-0.0007541124505853272,-0.0006654402697690177,8.867218081630955e-05,1,-0.005120157450437562,-0.0057903487235307916,0.00933554694056511,0.011677149683237078,-0.001157647892832736,-0.0015683065541088337
10,energy,6,31,-0.0030572857455421314,0.0033233968369281363,0.006380682582470268,0,-0.005135899037122721,-0.0057918213307857624,0.009424789622426034,0.011687046289443972,-0.0011722999066114403,-0.0015695088263600887
