representation,held_context,context_dim,model_input_dim,train_samples,ensemble_size,final_standardized_mse_mean,train_mae_log_regret_motion,train_mae_log_regret_stability,train_mae_log_regret_energy,held_mae_regret_motion,held_mae_regret_stability,held_mae_regret_energy,rho_regret_motion,rho_regret_stability,rho_regret_energy,rho_Q,oracle_beta,selected_beta,baseline_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
semantic_only,rough_seed_13,74,77,672,3,0.030124889065821964,0.042572767436963865,0.06299360175877124,0.07666961362941731,0.8259095223101438,21.64969126733536,1.2297875124463333,0.8999999999999999,-0.212987012987013,-0.5818181818181818,-0.0987012987012987,lm080_ls020_le000,lm000_ls080_le020,lm080_ls020_le000,20,0,0,0,0.1761300907969755,0.0,0
semantic_only,rough_seed_7,74,77,672,3,0.028096137568354607,0.041451807061878704,0.05926019032698836,0.07300841896901727,0.23786523313291907,0.5007343935509792,0.43547296615201103,0.7363636363636364,-0.11948051948051949,-0.04675324675324675,-0.05584415584415584,lm000_ls060_le040,lm100_ls000_le000,lm080_ls020_le000,6,0,0,0,0.03784085474337451,0.11426225020779207,1
semantic_only,rough_seed_15,74,77,672,3,0.03083204540113608,0.04364612920699583,0.06202604276213829,0.0792497803590937,0.5647231650128294,0.6220824684280113,1.220613063057536,0.0974025974025974,0.14155844155844155,-0.438961038961039,-0.10519480519480517,lm060_ls040_le000,lm000_ls000_le100,lm080_ls020_le000,21,0,0,0,0.40666745016513184,0.0068616204234064615,0
semantic_only,rough_seed_0,74,77,672,3,0.030338476101557415,0.04271141815808609,0.061079820124790386,0.07897036210120469,0.5475654434683737,0.5449903273591407,0.3880394886026618,0.9506493506493506,0.5298701298701299,0.4766233766233766,0.20519480519480518,lm100_ls000_le000,lm000_ls080_le020,lm080_ls020_le000,4,0,0,1,0.041768950939877314,0.1191408580715218,1
semantic_only,rough_seed_5,74,77,672,3,0.03193713538348675,0.043546422170092344,0.06457136988237784,0.08091275085535288,0.2713121279507118,0.5537756168251031,0.43933019226752584,0.8558441558441559,-0.21168831168831168,0.4584415584415585,0.4623376623376624,lm060_ls020_le020,lm000_ls060_le040,lm080_ls020_le000,17,0,0,0,0.13689095642851945,0.04604145419202896,0
semantic_only,rough_seed_11,74,77,672,3,0.03054337576031685,0.04142406254102114,0.06277127291087177,0.07645727368010699,1.906142488803159,0.7763597156952675,1.7468226090549355,0.9662337662337662,0.18311688311688312,0.5298701298701299,0.17922077922077922,lm020_ls080_le000,lm060_ls020_le020,lm080_ls020_le000,8,0,0,0,0.6683812919492886,0.03577286759580989,0
semantic_only,rough_seed_4,74,77,672,3,0.028698832417527836,0.036485364939571434,0.06346550639851299,0.07304371313798749,45.99829448547576,0.35690089336950176,1.9368103037184519,0.9584415584415583,0.8415584415584414,0.9363636363636364,0.8714285714285716,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,11,0,0,0,10.634846983014494,0.167424333212578,0
semantic_only,rough_seed_25,74,77,672,3,0.02845982772608598,0.04075059310985615,0.06155097879736511,0.07545062877789786,0.8259668687052201,0.6291754197170618,0.646173489961684,0.9662337662337662,0.4584415584415585,-0.45974025974025967,0.5363636363636364,lm040_ls040_le020,lm100_ls000_le000,lm080_ls020_le000,4,0,0,1,0.17697867292882175,0.2333729512036904,1
semantic_only,rough_seed_12,74,77,672,3,0.028775780151287716,0.04131951545659266,0.06077244258638609,0.07661584496081957,1.372924158216557,0.9357681339772027,0.830963958682164,-0.7285714285714285,-0.36623376623376624,-0.032467532467532464,-0.7415584415584415,lm100_ls000_le000,lm000_ls020_le080,lm080_ls020_le000,20,0,0,0,0.6626845282046525,0.27336439191352324,0
semantic_only,rough_seed_6,74,77,672,3,0.02904796600341797,0.041166217728567656,0.062040336112571794,0.07332205298580743,7.538844525348989,1.2894461390616643,1.3622635694681922,0.9623376623376624,-0.7961038961038961,0.01948051948051948,0.5454545454545454,lm000_ls080_le020,lm100_ls000_le000,lm080_ls020_le000,11,0,0,0,0.14161293884355156,0.19646303752110775,1
semantic_only,rough_seed_29,74,77,672,3,0.030638467520475388,0.04314858054985168,0.06256851055682158,0.07597186124564219,0.7633871473383926,1.0505301419077173,1.0143778383350348,0.9272727272727272,-0.3974025974025974,-0.04285714285714286,-0.26233766233766237,lm060_ls040_le000,lm100_ls000_le000,lm080_ls020_le000,7,0,0,0,0.22013033405235882,0.01807345113361848,0
semantic_only,rough_seed_18,74,77,672,3,0.03477266182502111,0.04009503199424832,0.05562884754851354,0.07555150045009297,3.8839928059296107,16.488095041641326,3.7753275597911524,0.8740259740259739,0.36623376623376624,-0.5402597402597402,0.7987012987012986,lm000_ls100_le000,lm000_ls100_le000,lm080_ls020_le000,1,1,1,1,0.0,1.6530904404215563,1
semantic_only,rough_seed_10,74,77,672,3,0.029774010181427002,0.04481265196759359,0.06244090230196824,0.07493774480707063,0.20585751631088925,0.7096302405041042,0.6593577577175503,0.7818181818181819,-0.6337662337662338,0.387012987012987,0.41038961038961036,lm060_ls020_le020,lm020_ls060_le020,lm080_ls020_le000,11,0,0,0,0.16616924550813755,0.04660870274838702,0
semantic_only,rough_seed_8,74,77,672,3,0.028252360721429188,0.040647350759894216,0.06146154481991224,0.07429724883356681,1.0899605439036202,0.37094945495043957,1.9696456914565492,0.9922077922077923,0.28181818181818186,-0.10909090909090909,0.9831168831168832,lm080_ls020_le000,lm080_ls020_le000,lm080_ls020_le000,1,1,1,1,0.0,0.0,0
semantic_only,rough_seed_22,74,77,672,3,0.027623747165004413,0.04064949771237517,0.06261858974904462,0.07361211529026718,0.3975933407009393,0.26300277588290255,0.8408568116819327,0.8740259740259739,0.5311688311688313,0.42987012987012985,0.3818181818181818,lm040_ls040_le020,lm000_ls060_le040,lm080_ls020_le000,10,0,0,0,0.1894274549107057,0.14102356059836776,0
