group,seed,w_name,w_kind,w_motion,w_stability,w_energy,selected_beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,J_motion,J_stability,J_energy,regret_motion,regret_stability,regret_energy,selection_score,selection_max_term,selection_weighted_sum_term,pareto_count
flat,27100,wg_m100_s000_e000,simplex_grid,1.0,0.0,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m080_s020_e000,simplex_grid,0.8,0.2,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m080_s000_e020,simplex_grid,0.8,0.0,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m060_s040_e000,simplex_grid,0.6,0.4,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m060_s020_e020,simplex_grid,0.6,0.2,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m060_s000_e040,simplex_grid,0.6,0.0,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m040_s060_e000,simplex_grid,0.4,0.6,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m040_s040_e020,simplex_grid,0.4,0.4,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m040_s020_e040,simplex_grid,0.4,0.2,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m040_s000_e060,simplex_grid,0.4,0.0,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m020_s080_e000,simplex_grid,0.2,0.8,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m020_s060_e020,simplex_grid,0.2,0.6,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m020_s040_e040,simplex_grid,0.2,0.4,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m020_s020_e060,simplex_grid,0.2,0.2,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m020_s000_e080,simplex_grid,0.2,0.0,0.8,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m000_s100_e000,simplex_grid,0.0,1.0,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m000_s080_e020,simplex_grid,0.0,0.8,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m000_s060_e040,simplex_grid,0.0,0.6,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m000_s040_e060,simplex_grid,0.0,0.4,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m000_s020_e080,simplex_grid,0.0,0.2,0.8,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,wg_m000_s000_e100,simplex_grid,0.0,0.0,1.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,w_balanced,canonical,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,w_motion,canonical,0.7,0.15,0.15,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,w_stability,canonical,0.15,0.7,0.15,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27100,w_energy,canonical,0.15,0.15,0.7,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m100_s000_e000,simplex_grid,1.0,0.0,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m080_s020_e000,simplex_grid,0.8,0.2,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m080_s000_e020,simplex_grid,0.8,0.0,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m060_s040_e000,simplex_grid,0.6,0.4,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m060_s020_e020,simplex_grid,0.6,0.2,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m060_s000_e040,simplex_grid,0.6,0.0,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m040_s060_e000,simplex_grid,0.4,0.6,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m040_s040_e020,simplex_grid,0.4,0.4,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m040_s020_e040,simplex_grid,0.4,0.2,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m040_s000_e060,simplex_grid,0.4,0.0,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m020_s080_e000,simplex_grid,0.2,0.8,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m020_s060_e020,simplex_grid,0.2,0.6,0.2,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m020_s040_e040,simplex_grid,0.2,0.4,0.4,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m020_s020_e060,simplex_grid,0.2,0.2,0.6,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
flat,27101,wg_m020_s000_e080,simplex_grid,0.2,0.0,0.8,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.467153420035954,0.10764727422495432,100.54988909022944,0.0,0.0,0.0,0.0,0.0,0.0,1
